Store Number,Store Name,Address
858-00220,The Little Clinic,"1175 S. College Mall Rd.Bloomington, IN 47401"
021-00928,Jackson Creek,"1175 S College Mall RdBloomington, IN 47401"
021-00091,Seminary Square,"528 S College AveBloomington, IN 47403"
021-00900,Bloomington South,"4025 S Old State Road 37Bloomington, IN 47401"
021-00330,Bloomington,"1825 Kinser PikeBloomington, IN 47404"
021-00960,Highland Village,"500 S Liberty DrBloomington, IN 47403"
021-00907,Martinsville,"1600 S Ohio StMartinsville, IN 46151"
024-00090,Bedford,"2631 16th StBedford, IN 47421"
090-00231,Ruler,"624 16Th StBedford, IN 47421"
090-00222,Bloomfield,"360 E Main StBloomfield, IN 47424"
024-00008,Columbus,"4290 W Jonathan Moore PikeColumbus, IN 47201"
090-00376,Mitchell,"1240 West Main StreetMitchell, IN 47446"
024-00053,Brownstown,"908 W Commerce StBrownstown, IN 47220"
024-00079,Edinburgh,"15801 N Us Highway 31Edinburgh, IN 46124"
021-00921,Mooresville,"530 S Indiana StMooresville, IN 46158"
021-00710,Columbus Marketplace,"3060 N. National Rd.Columbus, IN 47201"
858-00222,The Little Clinic,"3060 N National RdColumbus, IN 47201"
021-00979,Kroger Marketplace,"970 N Morton StFranklin, IN 46131"
858-00229,The Little Clinic,"970 N. Morton St.Franklin, IN 46131"
021-00735,Kroger,"5961 N State Road 135Greenwood, IN 46143"
858-00223,The Little Clinic,"5961 N State Road 135Greenwood, IN 46143"
024-00056,Odon,"309 W Main StOdon, IN 47562"
024-00073,Seymour,"1181 W Tipton StSeymour, IN 47274"
021-00864,Whiteland,"2200 Independence DrGreenwood, IN 46143"
024-00093,Seymour,"1541 E Tipton StSeymour, IN 47274"
021-00909,Meridian Park,"3100 Meridian Parke DrGreenwood, IN 46142"
024-00052,Shoals,"201 High StShoals, IN 47581"
021-00961,Greencastle,"821 Indianapolis RdGreencastle, IN 46135"
858-00217,The Little Clinic West Southport,"1330 W. Southport Rd.Indianapolis, IN 46217"
858-00216,The Little Clinic Plainfield,"1930 E Main StPlainfield, IN 46168"
021-00118,Plainfield Plaza,"1930 E Main StPlainfield, IN 46168"
021-00993,Bluff & Southport,"1330 W Southport RdIndianapolis, IN 46217"
021-00894,Claybrooke Commons,"8745 S. Emerson AvenueIndianapolis, IN 46237"
858-00224,The Little Clinic,"8745 S Emerson AveIndianapolis, IN 46237"
090-00215,Loogootee,"600 W Broadway StLoogootee, IN 47553"
021-00110,Marwood,"3361 Kentucky AveIndianapolis, IN 46221"
021-00992,Madison & Edgewood,"5911 Madison AveIndianapolis, IN 46227"
024-00035,West Baden Springs,"8276 W State Road 56West Baden Springs, IN 47469"
021-00947,Danville Shopping Center,"785 E Main StDanville, IN 46122"
021-00248,Forest Park Plaza,"100 Forest Park PlazaBrazil, IN 47834"
669-00603,Indianapolis,"4960 Madison AveIndianapolis, IN 46227"
021-00927,Southern Plaza,"4202 S East StIndianapolis, IN 46227"
021-00985,Avon,"108 N State Road 267Avon, IN 46123"
021-00066,Westgate Plaza,"5173 W Washington StIndianapolis, IN 46241"
021-00905,West Pointe Commons,"8150 Rockville RdIndianapolis, IN 46214"
021-00995,Ross Park,"5350 E. Thompson Rd.Indianapolis, IN 46237"
858-00225,The Little Clinic,"5350 E Thompson RdIndianapolis, IN 46237"
021-00989,Kroger,"8130 East Southport Rd.Indianapolis, IN 46259"
024-00086,Salem #86,"601 S Main StSalem, IN 47167"
090-00205,Salem,"805 S Main StSalem, IN 47167"
021-00016,West Michigan,"2630 W Michigan StIndianapolis, IN 46222"
021-00500,Speedway Plaza,"5718 Crawfordsville RdIndianapolis, IN 46224"
024-00055,Washington,"20 Cherry Tree PlazaWashington, IN 47501"
858-00219,The Little Clinic,"5718 Crawfordsville RdIndianapolis, IN 46224"
021-00981,Kroger Plaza Terre Haute,"2650 Wabash AveTerre Haute, IN 47803"
021-00987,Wabash Valley Plaza South,"4714 S US Highway 41Terre Haute, IN 47802"
024-00077,English,"663 E State Road 64English, IN 47118"
090-00261,Ruler,"155 East 30th StJasper, IN 47546"
024-00001,Scottsburg,"400 N Gardner StScottsburg, IN 47170"
024-00083,North Vernon,"2325 N State Highway 3North Vernon, IN 47265"
021-00911,Ft. Harrison Kroger,"2140 Fort Harrison RdTerre Haute, IN 47804"
021-00115,Brownsburg Square,"905 N Green StBrownsburg, IN 46112"
021-00339,Kroger Indianapolis,"227 W Michigan StreetIndianapolis, IN 46204"
021-00116,Twin Aire,"680 Twin Aire DrIndianapolis, IN 46203"
021-00974,Shelbyville,"1601 E Michigan RdShelbyville, IN 46176"
021-00001,Indy Downtown,"524 E 16Th StIndianapolis, IN 46202"
